trade_time,open,high,low,close,volume
2025-06-20 13:15:00,1437.02,1437.97,1436.0,1437.97,390
2025-06-20 13:20:00,1437.99,1438.27,1436.3,1436.3,368
2025-06-20 13:25:00,1436.3,1436.3,1435.2,1435.2,476
2025-06-20 13:30:00,1435.2,1435.26,1433.0,1433.0,609
2025-06-20 13:35:00,1433.01,1433.91,1432.52,1432.52,478
2025-06-20 13:40:00,1432.43,1432.43,1430.9,1430.97,588
2025-06-20 13:45:00,1430.99,1431.01,1430.5,1430.98,454
2025-06-20 13:50:00,1430.9900000000002,1431.5500000000002,1430.6000000000001,1431.2400000000002,466
2025-06-20 13:55:00,1431.24,1431.95,1430.81,1431.9299999999998,355
2025-06-20 14:00:00,1431.93,1432.0200000000002,1430.88,1430.92,473
2025-06-20 14:05:00,1430.92,1430.92,1429.46,1430.3700000000001,815
2025-06-20 14:10:00,1430.37,1430.3799999999999,1428.01,1428.19,563
2025-06-20 14:15:00,1428.2,1428.64,1427.01,1427.14,767
2025-06-20 14:20:00,1427.14,1428.2700000000002,1427.14,1428.26,482
2025-06-20 14:25:00,1428.3,1429.0,1426.68,1426.72,899
2025-06-20 14:30:00,1426.04,1426.69,1426.02,1426.69,529
2025-06-20 14:35:00,1426.69,1427.78,1426.69,1427.78,558
2025-06-20 14:40:00,1427.72,1428.24,1427.64,1428.24,604
2025-06-20 14:45:00,1428.24,1429.39,1428.19,1429.38,513
2025-06-20 14:50:00,1429.4,1430.0,1429.39,1429.6100000000001,868
2025-06-20 14:55:00,1429.6200000000001,1430.0000000000002,1428.1100000000001,1428.42,982
2025-06-20 15:00:00,1428.39,1428.99,1428.23,1428.66,1723
